id,model,num_correct,err_rt,f_err_rt,r_err_rt,r_ans_rt,resp_time,f_resp_time,r_resp_time
participant_31,insgen,147.0,0.265,0.30000000000000004,0.22999999999999998,0.535,304.21,148.0,156.21
participant_32,insgen,145.0,0.275,0.15000000000000002,0.4,0.375,194.23,98.24,95.99
participant_33,insgen,158.0,0.20999999999999996,0.18000000000000005,0.24,0.47,268.04,131.03,137.0
participant_34,insgen,158.0,0.20999999999999996,0.21999999999999997,0.19999999999999996,0.51,458.68,182.36,276.32
participant_35,insgen,131.0,0.345,0.24,0.44999999999999996,0.395,255.18,126.12,129.06
participant_36,insgen,146.0,0.27,0.36,0.18000000000000005,0.59,516.05,251.36,264.69
participant_37,insgen,170.0,0.15000000000000002,0.10999999999999999,0.18999999999999995,0.46,406.28,206.12,200.15
participant_38,insgen,154.0,0.22999999999999998,0.21999999999999997,0.24,0.49,261.49,123.14,138.35
participant_39,insgen,138.0,0.31000000000000005,0.28,0.33999999999999997,0.47,493.09,241.32,251.77
participant_40,insgen,123.0,0.385,0.38,0.39,0.495,235.36,102.28,133.08
participant_41,insgen,137.0,0.31499999999999995,0.31999999999999995,0.31000000000000005,0.505,269.39,121.85,147.54
participant_42,insgen,152.0,0.24,0.28,0.19999999999999996,0.54,275.03,135.44,139.6
participant_43,insgen,142.0,0.29000000000000004,0.33999999999999997,0.24,0.55,331.18,147.97,183.21
participant_44,insgen,111.0,0.44499999999999995,0.29000000000000004,0.6,0.345,173.54,83.47,90.07
participant_45,insgen,131.0,0.345,0.31000000000000005,0.38,0.465,345.67,165.59,180.08
participant_46,insgen,163.0,0.18500000000000005,0.20999999999999996,0.16000000000000003,0.525,485.68,206.33,279.35
participant_47,insgen,161.0,0.19499999999999995,0.19999999999999996,0.18999999999999995,0.505,649.58,288.09,361.49
participant_48,insgen,131.0,0.345,0.32999999999999996,0.36,0.485,220.99,107.38,113.61
participant_49,insgen,179.0,0.10499999999999998,0.07999999999999996,0.13,0.475,194.33,84.85,109.47
participant_50,ldm,143.0,0.28500000000000003,0.30000000000000004,0.27,0.515,272.95,141.18,131.77
participant_51,ldm,141.0,0.29500000000000004,0.25,0.33999999999999997,0.455,425.43,192.91,232.52
participant_52,ldm,146.0,0.27,0.31000000000000005,0.22999999999999998,0.54,270.31,130.41,139.9
participant_53,ldm,150.0,0.25,0.30000000000000004,0.19999999999999996,0.55,434.29,217.3,216.99
participant_54,ldm,166.0,0.17000000000000004,0.14,0.19999999999999996,0.47,265.76,123.19,142.57
participant_55,ldm,146.0,0.27,0.31000000000000005,0.22999999999999998,0.54,324.21,161.93,162.28
participant_56,ldm,146.0,0.27,0.28,0.26,0.51,266.52,119.0,147.52
participant_57,ldm,149.0,0.255,0.26,0.25,0.505,219.41,113.38,106.03
participant_58,ldm,182.0,0.08999999999999997,0.040000000000000036,0.14,0.45,439.88,166.47,273.4
participant_59,ldm,187.0,0.06499999999999995,0.050000000000000044,0.07999999999999996,0.485,788.11,353.88,434.23
participant_60,ldm,150.0,0.25,0.25,0.25,0.5,204.7,102.3,102.41
participant_61,ldm,178.0,0.10999999999999999,0.050000000000000044,0.17000000000000004,0.44,614.02,240.77,373.26
participant_62,ldm,182.0,0.08999999999999997,0.07999999999999996,0.09999999999999998,0.49,1527.13,881.68,645.45
participant_63,ldm,157.0,0.21499999999999997,0.17000000000000004,0.26,0.455,377.45,180.9,196.54
participant_64,ldm,136.0,0.31999999999999995,0.42000000000000004,0.21999999999999997,0.6,589.73,307.12,282.61
participant_65,ldm,167.0,0.16500000000000004,0.050000000000000044,0.28,0.385,470.65,205.61,265.04
participant_66,ldm,158.0,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.5,287.54,158.04,129.51
participant_67,ldm,177.0,0.11499999999999999,0.16000000000000003,0.06999999999999995,0.545,663.38,352.68,310.7
participant_68,ldm,164.0,0.18000000000000005,0.09999999999999998,0.26,0.42,262.84,119.8,143.04
participant_69,ldm,192.0,0.040000000000000036,0.06000000000000005,0.020000000000000018,0.52,155.1,71.85,83.25
participant_70,ldm,152.0,0.24,0.22999999999999998,0.25,0.49,341.1,155.88,185.22
participant_71,ldm,177.0,0.11499999999999999,0.17000000000000004,0.06000000000000005,0.555,443.97,202.4,241.57
participant_72,ldm,167.0,0.16500000000000004,0.09999999999999998,0.22999999999999998,0.435,237.31,110.97,126.34
participant_73,ldm,170.0,0.15000000000000002,0.13,0.17000000000000004,0.48,433.93,195.27,238.66
participant_74,ldm,185.0,0.07499999999999996,0.030000000000000027,0.12,0.455,403.17,138.46,264.72
participant_75,projected-gan,180.0,0.09999999999999998,0.10999999999999999,0.08999999999999997,0.51,506.92,251.76,255.16
participant_76,projected-gan,179.0,0.10499999999999998,0.18000000000000005,0.030000000000000027,0.575,156.17,78.15,78.02
participant_77,projected-gan,186.0,0.06999999999999995,0.040000000000000036,0.09999999999999998,0.47,208.8,91.35,117.46
participant_78,projected-gan,161.0,0.19499999999999995,0.22999999999999998,0.16000000000000003,0.535,197.83,94.16,103.66
participant_79,projected-gan,179.0,0.10499999999999998,0.12,0.08999999999999997,0.515,365.94,167.49,198.45
participant_80,projected-gan,172.0,0.14,0.14,0.14,0.5,289.05,137.29,151.76
participant_81,projected-gan,199.0,0.0050000000000000044,0.010000000000000009,0.0,0.505,456.58,209.0,247.58
participant_82,projected-gan,181.0,0.09499999999999997,0.12,0.06999999999999995,0.525,184.55,86.52,98.03
participant_83,projected-gan,181.0,0.09499999999999997,0.12,0.06999999999999995,0.525,479.73,287.74,191.99
participant_84,projected-gan,185.0,0.07499999999999996,0.08999999999999997,0.06000000000000005,0.515,265.21,112.51,152.71
participant_85,projected-gan,171.0,0.14500000000000002,0.16000000000000003,0.13,0.515,320.1,182.33,137.78
participant_86,projected-gan,189.0,0.05500000000000005,0.030000000000000027,0.07999999999999996,0.475,655.64,270.5,385.14
participant_87,projected-gan,152.0,0.24,0.26,0.21999999999999997,0.52,615.27,267.63,347.64
participant_88,projected-gan,174.0,0.13,0.12,0.14,0.49,193.63,96.7,96.93
participant_89,projected-gan,184.0,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.5,315.41,215.17,100.24
participant_90,projected-gan,168.0,0.16000000000000003,0.16000000000000003,0.16000000000000003,0.5,202.35,98.23,104.12
participant_91,projected-gan,167.0,0.16500000000000004,0.14,0.18999999999999995,0.475,333.31,143.14,190.17
participant_92,projected-gan,180.0,0.09999999999999998,0.07999999999999996,0.12,0.48,289.97,124.38,165.58
participant_93,projected-gan,167.0,0.16500000000000004,0.16000000000000003,0.17000000000000004,0.495,246.87,136.26,110.61
participant_94,projected-gan,151.0,0.245,0.43000000000000005,0.06000000000000005,0.685,233.54,114.31,119.23
participant_95,projected-gan,192.0,0.040000000000000036,0.050000000000000044,0.030000000000000027,0.51,514.53,159.37,355.16
participant_96,projected-gan,175.0,0.125,0.07999999999999996,0.17000000000000004,0.455,198.28,94.57,103.71
participant_97,projected-gan,196.0,0.020000000000000018,0.010000000000000009,0.030000000000000027,0.49,316.48,124.92,191.56
participant_98,projected-gan,166.0,0.17000000000000004,0.22999999999999998,0.10999999999999999,0.56,161.81,75.88,85.93
participant_99,projected-gan,163.0,0.18500000000000005,0.19999999999999996,0.17000000000000004,0.515,246.15,106.09,140.07
participant_100,stylegan2-ada,178.0,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.5,402.37,166.38,235.98
participant_101,stylegan2-ada,152.0,0.24,0.29000000000000004,0.18999999999999995,0.55,243.16,115.62,127.54
participant_102,stylegan2-ada,151.0,0.245,0.28,0.20999999999999996,0.535,423.25,205.23,218.01
participant_103,stylegan2-ada,180.0,0.09999999999999998,0.08999999999999997,0.10999999999999999,0.49,312.59,141.62,170.98
participant_104,stylegan2-ada,164.0,0.18000000000000005,0.22999999999999998,0.13,0.55,416.15,202.59,213.56
participant_105,stylegan2-ada,139.0,0.30500000000000005,0.37,0.24,0.565,220.95,111.05,109.9
participant_106,stylegan2-ada,108.0,0.45999999999999996,0.52,0.4,0.56,659.41,327.68,331.73
participant_107,stylegan2-ada,158.0,0.20999999999999996,0.30000000000000004,0.12,0.59,224.59,108.17,116.42
participant_108,stylegan2-ada,162.0,0.18999999999999995,0.24,0.14,0.55,176.03,90.7,85.33
participant_109,stylegan2-ada,168.0,0.16000000000000003,0.18999999999999995,0.13,0.53,229.7,113.27,116.43
participant_110,stylegan2-ada,176.0,0.12,0.08999999999999997,0.15000000000000002,0.47,205.14,91.86,113.28
participant_111,stylegan2-ada,170.0,0.15000000000000002,0.14,0.16000000000000003,0.49,291.02,133.24,157.78
participant_112,stylegan2-ada,160.0,0.19999999999999996,0.12,0.28,0.42,243.37,108.93,134.44
participant_113,stylegan2-ada,161.0,0.19499999999999995,0.18000000000000005,0.20999999999999996,0.485,196.77,95.33,101.44
participant_114,stylegan2-ada,163.0,0.18500000000000005,0.10999999999999999,0.26,0.425,1107.13,538.89,568.24
participant_115,stylegan2-ada,146.0,0.27,0.19999999999999996,0.33999999999999997,0.43,311.7,138.86,172.84
participant_116,stylegan2-ada,161.0,0.19499999999999995,0.17000000000000004,0.21999999999999997,0.475,515.08,227.62,287.46
participant_117,stylegan2-ada,164.0,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.5,418.78,184.78,233.99
participant_118,stylegan2-ada,119.0,0.405,0.4,0.41000000000000003,0.495,320.28,160.42,159.86
participant_119,stylegan2-ada,148.0,0.26,0.17000000000000004,0.35,0.41,242.53,106.63,135.9
participant_120,stylegan2-ada,151.0,0.245,0.12,0.37,0.375,504.8,211.79,293.01
participant_121,stylegan2-ada,164.0,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.5,212.12,98.6,113.52
participant_122,stylegan2-ada,160.0,0.19999999999999996,0.17000000000000004,0.22999999999999998,0.47,326.78,175.2,151.58
participant_123,stylegan2-ada,171.0,0.14500000000000002,0.22999999999999998,0.06000000000000005,0.585,509.93,245.97,263.97
participant_124,stylegan2-ada,149.0,0.255,0.31000000000000005,0.19999999999999996,0.555,248.94,116.15,132.79
participant_125,stylegan-xl,178.0,0.10999999999999999,0.07999999999999996,0.14,0.47,216.0,95.39,120.61
participant_126,stylegan-xl,168.0,0.16000000000000003,0.14,0.18000000000000005,0.48,473.71,230.31,243.39
participant_127,stylegan-xl,169.0,0.15500000000000003,0.13,0.18000000000000005,0.475,285.06,146.29,138.77
participant_128,stylegan-xl,159.0,0.20499999999999996,0.24,0.17000000000000004,0.535,251.15,133.25,117.9
participant_129,stylegan-xl,164.0,0.18000000000000005,0.13,0.22999999999999998,0.45,268.1,133.84,134.26
participant_130,stylegan-xl,185.0,0.07499999999999996,0.06999999999999995,0.07999999999999996,0.495,166.51,74.1,92.4
participant_131,stylegan-xl,186.0,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.5,392.04,218.3,173.74
participant_132,stylegan-xl,168.0,0.16000000000000003,0.15000000000000002,0.17000000000000004,0.49,263.43,116.33,147.1
participant_133,stylegan-xl,171.0,0.14500000000000002,0.14,0.15000000000000002,0.495,247.54,123.38,124.15
participant_134,stylegan-xl,160.0,0.19999999999999996,0.20999999999999996,0.18999999999999995,0.51,352.17,112.12,240.05
participant_135,stylegan-xl,152.0,0.24,0.25,0.22999999999999998,0.51,295.49,143.58,151.91
participant_136,stylegan-xl,134.0,0.32999999999999996,0.56,0.09999999999999998,0.73,626.61,396.71,229.9
participant_137,stylegan-xl,175.0,0.125,0.09999999999999998,0.15000000000000002,0.475,188.65,75.03,113.62
participant_138,stylegan-xl,171.0,0.14500000000000002,0.14,0.15000000000000002,0.495,498.03,184.49,313.54
participant_139,stylegan-xl,174.0,0.13,0.06999999999999995,0.18999999999999995,0.44,440.57,203.65,236.92
participant_140,stylegan-xl,161.0,0.19499999999999995,0.18000000000000005,0.20999999999999996,0.485,776.24,75.72,700.52
participant_141,stylegan-xl,161.0,0.19499999999999995,0.18999999999999995,0.19999999999999996,0.495,403.38,183.7,219.68
participant_142,stylegan-xl,168.0,0.16000000000000003,0.13,0.18999999999999995,0.47,182.95,85.86,97.09
participant_143,stylegan-xl,149.0,0.255,0.31999999999999995,0.18999999999999995,0.565,185.16,95.19,89.97
participant_144,stylegan-xl,169.0,0.15500000000000003,0.18000000000000005,0.13,0.525,187.76,95.71,92.05
participant_145,stylegan-xl,173.0,0.135,0.08999999999999997,0.18000000000000005,0.455,393.52,178.21,215.31
participant_146,stylegan-xl,178.0,0.10999999999999999,0.06999999999999995,0.15000000000000002,0.46,170.15,76.74,93.4
participant_147,stylegan-xl,169.0,0.15500000000000003,0.16000000000000003,0.15000000000000002,0.505,663.01,332.6,330.41
participant_148,stylegan-xl,172.0,0.14,0.12,0.16000000000000003,0.48,367.95,146.35,221.6
participant_149,stylegan-xl,184.0,0.07999999999999996,0.030000000000000027,0.13,0.45,210.05,98.47,111.58
participant_150,stylenat,178.0,0.10999999999999999,0.07999999999999996,0.14,0.47,366.58,167.21,199.37
participant_151,stylenat,134.0,0.32999999999999996,0.32999999999999996,0.32999999999999996,0.5,207.36,102.0,105.36
participant_152,stylenat,143.0,0.28500000000000003,0.28,0.29000000000000004,0.495,181.75,87.04,94.71
participant_153,stylenat,136.0,0.31999999999999995,0.21999999999999997,0.42000000000000004,0.4,466.65,230.22,236.43
participant_154,stylenat,141.0,0.29500000000000004,0.43999999999999995,0.15000000000000002,0.645,617.7,309.42,308.29
participant_155,stylenat,164.0,0.18000000000000005,0.13,0.22999999999999998,0.45,437.5,171.89,265.61
participant_156,stylenat,118.0,0.41000000000000003,0.37,0.44999999999999996,0.46,613.4,299.93,313.47
participant_157,stylenat,146.0,0.27,0.24,0.30000000000000004,0.47,350.31,167.8,182.51
participant_158,stylenat,127.0,0.365,0.25,0.48,0.385,327.63,166.17,161.47
participant_159,stylenat,135.0,0.32499999999999996,0.35,0.30000000000000004,0.525,422.99,208.59,214.4
participant_160,stylenat,159.0,0.20499999999999996,0.25,0.16000000000000003,0.545,251.55,129.86,121.69
participant_161,stylenat,125.0,0.375,0.18999999999999995,0.56,0.315,284.86,133.08,151.78
participant_162,stylenat,123.0,0.385,0.32999999999999996,0.43999999999999995,0.445,235.29,113.96,121.33
participant_163,stylenat,164.0,0.18000000000000005,0.17000000000000004,0.18999999999999995,0.49,688.59,290.1,398.49
participant_164,stylenat,137.0,0.31499999999999995,0.36,0.27,0.545,476.17,221.53,254.65
participant_165,stylenat,130.0,0.35,0.35,0.35,0.5,216.12,94.14,121.98
participant_166,stylenat,123.0,0.385,0.4,0.37,0.515,818.33,370.36,447.97
participant_167,stylenat,139.0,0.30500000000000005,0.21999999999999997,0.39,0.415,244.45,109.01,135.44
participant_168,stylenat,176.0,0.12,0.08999999999999997,0.15000000000000002,0.47,484.79,202.85,281.94
participant_169,stylenat,148.0,0.26,0.22999999999999998,0.29000000000000004,0.47,512.13,310.64,201.48
participant_170,stylenat,155.0,0.22499999999999998,0.27,0.18000000000000005,0.545,364.78,169.14,195.64
participant_171,stylenat,121.0,0.395,0.42000000000000004,0.37,0.525,224.25,108.99,115.26
participant_172,stylenat,159.0,0.20499999999999996,0.18999999999999995,0.21999999999999997,0.485,418.8,191.29,227.51
participant_173,stylenat,110.0,0.44999999999999996,0.51,0.39,0.56,254.67,128.16,126.51
participant_174,stylenat,116.0,0.42000000000000004,0.41000000000000003,0.43000000000000005,0.49,205.29,100.14,105.15
participant_175,styleswin,165.0,0.17500000000000004,0.13,0.21999999999999997,0.455,196.4,93.86,102.53
participant_176,styleswin,124.0,0.38,0.15000000000000002,0.61,0.27,292.38,143.64,148.74
participant_177,styleswin,166.0,0.17000000000000004,0.25,0.08999999999999997,0.58,340.37,185.34,155.03
participant_178,styleswin,157.0,0.21499999999999997,0.13,0.30000000000000004,0.415,234.32,100.99,133.33
participant_179,styleswin,162.0,0.18999999999999995,0.21999999999999997,0.16000000000000003,0.53,299.12,156.44,142.68
participant_180,styleswin,176.0,0.12,0.14,0.09999999999999998,0.52,208.44,94.73,113.71
participant_181,styleswin,157.0,0.21499999999999997,0.16000000000000003,0.27,0.445,272.6,137.82,134.78
participant_182,styleswin,150.0,0.25,0.18999999999999995,0.31000000000000005,0.44,191.53,88.65,102.88
participant_183,styleswin,158.0,0.20999999999999996,0.21999999999999997,0.19999999999999996,0.51,201.91,97.68,104.23
participant_184,styleswin,150.0,0.25,0.26,0.24,0.51,137.26,70.71,66.55
participant_185,styleswin,175.0,0.125,0.12,0.13,0.495,289.33,121.99,167.33
participant_186,styleswin,178.0,0.10999999999999999,0.18000000000000005,0.040000000000000036,0.57,274.29,138.8,135.5
participant_187,styleswin,180.0,0.09999999999999998,0.06000000000000005,0.14,0.46,773.32,321.81,451.52
participant_188,styleswin,166.0,0.17000000000000004,0.17000000000000004,0.17000000000000004,0.5,366.17,169.21,196.97
participant_189,styleswin,162.0,0.18999999999999995,0.07999999999999996,0.30000000000000004,0.39,246.78,113.03,133.75
participant_190,styleswin,181.0,0.09499999999999997,0.08999999999999997,0.09999999999999998,0.495,318.06,153.8,164.27
participant_191,styleswin,168.0,0.16000000000000003,0.19999999999999996,0.12,0.54,269.95,134.58,135.37
participant_192,styleswin,167.0,0.16500000000000004,0.07999999999999996,0.25,0.415,260.92,109.19,151.72
participant_193,styleswin,159.0,0.20499999999999996,0.18000000000000005,0.22999999999999998,0.475,239.72,111.3,128.42
participant_194,styleswin,174.0,0.13,0.14,0.12,0.51,159.59,76.67,82.92
participant_195,styleswin,172.0,0.14,0.20999999999999996,0.06999999999999995,0.57,395.17,204.52,190.65
participant_196,styleswin,161.0,0.19499999999999995,0.15000000000000002,0.24,0.455,439.21,192.5,246.71
participant_197,styleswin,161.0,0.19499999999999995,0.14,0.25,0.445,252.2,108.58,143.62
participant_198,styleswin,164.0,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.5,316.63,153.26,163.37
participant_199,styleswin,169.0,0.15500000000000003,0.18999999999999995,0.12,0.535,218.29,105.17,113.11
participant_200,unleashing,173.0,0.135,0.20999999999999996,0.06000000000000005,0.575,235.69,112.16,123.52
participant_201,unleashing,151.0,0.245,0.20999999999999996,0.28,0.465,215.98,101.9,114.08
participant_202,unleashing,163.0,0.18500000000000005,0.15000000000000002,0.21999999999999997,0.465,286.59,122.96,163.63
participant_203,unleashing,135.0,0.32499999999999996,0.36,0.29000000000000004,0.535,142.51,69.9,72.6
participant_204,unleashing,180.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.5,575.47,280.44,295.02
participant_205,unleashing,168.0,0.16000000000000003,0.18000000000000005,0.14,0.52,518.25,249.64,268.61
participant_206,unleashing,169.0,0.15500000000000003,0.17000000000000004,0.14,0.515,246.66,125.19,121.46
participant_207,unleashing,153.0,0.235,0.18999999999999995,0.28,0.455,482.69,227.78,254.91
participant_208,unleashing,166.0,0.17000000000000004,0.19999999999999996,0.14,0.53,172.22,84.98,87.24
participant_209,unleashing,139.0,0.30500000000000005,0.41000000000000003,0.19999999999999996,0.605,407.69,161.42,246.27
participant_210,unleashing,181.0,0.09499999999999997,0.08999999999999997,0.09999999999999998,0.495,177.4,88.63,88.78
participant_211,unleashing,163.0,0.18500000000000005,0.22999999999999998,0.14,0.545,284.06,131.9,152.16
participant_212,unleashing,151.0,0.245,0.37,0.12,0.625,456.53,269.04,187.49
participant_213,unleashing,155.0,0.22499999999999998,0.19999999999999996,0.25,0.475,333.13,147.59,185.54
participant_214,unleashing,173.0,0.135,0.16000000000000003,0.10999999999999999,0.525,178.59,82.98,95.62
participant_215,unleashing,168.0,0.16000000000000003,0.26,0.06000000000000005,0.6,291.0,149.87,141.13
participant_216,unleashing,142.0,0.29000000000000004,0.44999999999999996,0.13,0.66,193.46,96.61,96.86
participant_217,unleashing,186.0,0.06999999999999995,0.030000000000000027,0.10999999999999999,0.46,707.63,215.5,492.13
participant_218,unleashing,147.0,0.265,0.42000000000000004,0.10999999999999999,0.655,374.24,186.58,187.67
participant_219,unleashing,192.0,0.040000000000000036,0.050000000000000044,0.030000000000000027,0.51,570.67,283.14,287.53
participant_220,unleashing,167.0,0.16500000000000004,0.16000000000000003,0.17000000000000004,0.495,240.86,111.46,129.41
participant_221,unleashing,168.0,0.16000000000000003,0.15000000000000002,0.17000000000000004,0.49,333.77,146.93,186.85
participant_222,unleashing,180.0,0.09999999999999998,0.16000000000000003,0.040000000000000036,0.56,419.51,185.77,233.74
participant_223,unleashing,165.0,0.17500000000000004,0.08999999999999997,0.26,0.415,284.14,132.42,151.72
participant_224,unleashing,175.0,0.125,0.18999999999999995,0.06000000000000005,0.565,347.04,189.36,157.68
participant_225,unleashing,165.0,0.17500000000000004,0.24,0.10999999999999999,0.565,196.35,94.61,101.74
participant_226,unleashing,193.0,0.03500000000000003,0.050000000000000044,0.020000000000000018,0.515,227.03,101.34,125.68
